,text,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,You mean to say Ankit Sharma who was stabbed 400 times by barbarians and the Cop Ratanâ€¦ https://t.co/S0mllbyCjI,0.0,0.0,0.0,0.0,0.0,0.0
1,@sardesairajdeep Not rooting for Kapil Mishra arrest?,0.0,0.0,0.0,0.0,0.0,0.0
2,"RT @OpIndia_com: After WSJ, Jansatta misquotes IB sleuth Ankit Sharmaâ€™s brother to allege Hindus were behind his brotherâ€™s gruesome murderâ€¦",0.0,0.0,0.0,0.0,0.0,0.0
3,RT @Saurabhk4u: When #SwaraBhasker and #Jafrabad mullis asked question ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ #RubikaLiyaquat #ISupportKapilMishra https://t.co/EdIS1AOKN7,1.0,0.0,0.0,0.0,0.0,1.0
4,RT @abhishekangad: Intelligence Bureau Security Assistant Ankit Sharma's body recovered Wednesday afternoon. His body was pulled out from Câ€¦,0.0,0.0,0.0,0.0,0.0,0.0
5,"RT @AskAnshul: New Delhi

- Stone Pelting:
1. Jamia Nagar
2. Seelampur
3. Now, Maujpur

- Bangladeshis involved in Seemapuri violence

- Slâ€¦",1.0,0.0,0.0,0.0,0.0,1.0
6,"RT @Zebaism: Of 7 people whoâ€™ve died:

Ratan Lal,cop on duty-father of 3 children

Mohd Furkan,wedding card maker-Had gone out to get foodâ€¦",0.0,0.0,0.0,0.0,0.0,0.0
7,"RT @pokershash: â€¢1st â¦@thewire_inâ© said that shooter was PRO CAA protestor.
â€¢Then Congress called him supporter of Kapil Mishra.
â€¢Then Congâ€¦",0.0,0.0,0.0,0.0,0.0,0.0
8,RT @Sapna_3: Is this why Cong gave walkover to Kejriwal in Delhi elections ? So that they could focus on some more important things &amp; get Dâ€¦,0.0,0.0,0.0,0.0,0.0,0.0
9,"RT @ek_aalu_bonda: Few mins ago from maujpur..

someone was live on facebook. https://t.co/w8fkT6UGts",0.0,0.0,0.0,0.0,0.0,0.0
10,"RT @UnSubtleDesi: Last respects being paid to martyr Ankit Sharma amidst chants of Bharat Mata Ki Jai 

@OpIndia_com https://t.co/4JEqfF8Elm",0.0,0.0,0.0,0.0,0.0,0.0
11,RT @TarekFatah: Indian Islamic cleric Maulana #TauqeerRaza threatens to soak India in blood; create a bloodbath on Delhi streets if Home Miâ€¦,1.0,0.0,0.0,1.0,0.0,0.0
12,"RT @KapilMishra_IND: Look at the crowd today at Jantar Mantar 

à¤¤à¥à¤® à¤•à¤¿à¤¤à¤¨à¤¾ à¤­à¥€ à¤à¥‚à¤  à¤«à¥ˆà¤²à¤¾à¤“
à¤¯à¥‡ à¤ªà¤¬à¥à¤²à¤¿à¤• à¤¹à¥ˆà¤‚ à¤¸à¤¬ à¤œà¤¾à¤¨à¤¤à¥€ à¤¹à¥ˆà¤‚

#DelhiAgainstJehadiVioleâ€¦",0.0,0.0,0.0,0.0,0.0,0.0
13,"RT @imMAK02: ""Remove Delhi police for 5 minutes, we will wipe out Islam from Delhi""~ Hindu Army

This guy is openly calling for ethnic cleaâ€¦",1.0,1.0,0.0,1.0,0.0,1.0
14,"RT @pokershash: Pic1- Shooter with crowd.
Pic2- Crowd with saffron basket
Pic3- close look of basket
Pic4- Basket with Skull Cap and Beard.â€¦",1.0,0.0,0.0,0.0,0.0,1.0
15,"RT @SalmanNizami_: A right wing goon trying to hoist the saffron flag on the mosque minaret.

Sab Yaad Rakha Jaye Ga! #DelhiRiots https://tâ€¦",1.0,0.0,0.0,1.0,0.0,0.0
16,"RT @saahilmenghani: ðŸ‘‰I recorded this just now.

ðŸ‘‰""Desh ke gaddaro ko goli maaro ___ ko' slogan still being raised in front of the Police inâ€¦",0.0,0.0,0.0,0.0,0.0,0.0
17,"RT @God_Of_Pot: Breaking now :

#Rajinikanth at Poes-

Some parties are using religion to incite violence.

#DelhiRiots is the result of thâ€¦",0.0,0.0,0.0,0.0,0.0,0.0
18,RT @saurabh3vedi: #JUSTIN  Head Constable Ratan Lal died during the violence in North East Delhi. He got injured during stone pelting. #Jafâ€¦,0.0,0.0,0.0,0.0,0.0,0.0
19,RT @desimojito: He is the global head of TCS who is supporting terr0rlsts like Tahir Hussain,0.0,0.0,0.0,0.0,1.0,0.0
20,RT @ThePeopleOfIN: Ground reality from Maujpur: Pro-CAA protestors throwing stones at the homes of those who have been protesting against Câ€¦,0.0,0.0,0.0,0.0,0.0,0.0
21,RT @AgentSaffron: Chand Bagh ground report: Islamists from Tahir Hussain house destroy wedding of Hindu girl who used to call them â€˜bhaijaaâ€¦,0.0,0.0,0.0,0.0,0.0,0.0
22,@MOOSA_PATRIOT @RaeeAkram Any idea of a United India could never have worked and in my judgment it would have led uâ€¦ https://t.co/8CZkPvEWkY,0.0,0.0,0.0,0.0,0.0,0.0
23,"RT @imMAK02: Watch this video.

She is Parveen, she left Shiv Vihar with her families on Tuesday morning. 

She explained the terror of Hinâ€¦",1.0,0.0,0.0,0.0,0.0,1.0
24,"RT @SwamiGeetika: House burnt because it belonged to a Hindu
Another precious life of an intelligence bureau officer Ankit Sharma gone,Meanâ€¦",0.0,0.0,0.0,0.0,0.0,0.0
25,"RT @saahilmenghani: #Watch

Stone pelting by pro-CAA men in Delhi's Maujpur IN FRONT OF POLICEMEN.

I'm posting another important video inâ€¦",0.0,0.0,0.0,0.0,0.0,0.0
26,"RT @BDUTT: The incredible story of Mujibur Rehman, I meet him in #Mustafabad. The mob burnt his house, looted his belongings, his life wasâ€¦",0.0,0.0,0.0,0.0,0.0,0.0
27,"RT @Dilsedesh: #Delhi

RW ATTACKED
1. Jamia
2. Shaheenbag
3. Now Maujpur

#kapilmishra involved in Seemapuri violence

Slogans:
1. Goli ...â€¦",0.0,0.0,0.0,0.0,0.0,0.0
28,"RT @imMAK02: Dear Msulims in Delhi, record each and every incident on your phone, do commentary about the incident and mention date and plaâ€¦",0.0,0.0,0.0,0.0,0.0,0.0
29,"RT @abhijitmajumder: Kapil Mishra requests cops to clear roads for public, else heâ€˜d agitate after Trump visit.
* Whatâ€™s wrong in that?
* Wâ€¦",0.0,0.0,0.0,0.0,0.0,0.0
30,RT @iRupND: Share this as much as possible that it reaches every house. Thank you Kapil Mishra for this. @KapilMishra_IND https://t.co/2X5Nâ€¦,0.0,0.0,0.0,0.0,0.0,0.0
31,"RT @isaifpatel: Before lecturing Muslims on kids with Hijab: please introspect internally, look at your kids - out there on the streets witâ€¦",1.0,0.0,0.0,0.0,0.0,0.0
32,"RT @mvmeet: When Ankit Sharma was k!lled by Tahir Hussian's terror!sts,

Seculars kept quiet bcoz of Tahir's religion!

Now those terror!stâ€¦",0.0,0.0,0.0,0.0,1.0,0.0
33,"RT @AskAnshul: New Delhi

- Stone Pelting:
1. Jamia Nagar
2. Seelampur
3. Now, Maujpur

- Bangladeshis involved in Seemapuri violence

- Slâ€¦",0.0,0.0,0.0,0.0,0.0,0.0
34,"RT @BesuraTaansane: Tahir Hussain is a small foot soldier in this sinister organisation of Break India Forces

The mastermind of every ri0tâ€¦",1.0,0.0,0.0,0.0,0.0,0.0
35,"RT @ImtiazMadmood: Mohammed Shahrukh was never arrested. His family is also absconding.

Tahir Hussain is also absconding. There are powerfâ€¦",0.0,0.0,0.0,0.0,0.0,0.0
36,"RT @Shaheenbaghoff1: Update Ashok Nagar, Delhi 6.00pm: A mosque has been vandalised by Hindutva terror forces, as they brazenly revisit theâ€¦",1.0,0.0,0.0,0.0,0.0,0.0
37,"@RShivshankar No Mr Rahul it was instigated by bjp neither by Hindu nor by Muslims, they both are the victim here,â€¦ https://t.co/F3dHj31662",0.0,0.0,0.0,0.0,0.0,0.0
38,RT @nisheethsharan: Sources confirm that AAP councillor Tahir Hussainâ€™s name emerging prominently in the investigations of planning and exeâ€¦,0.0,0.0,0.0,0.0,0.0,0.0
39,RT @vikrantkumar: If @KapilMishra_IND is responsible for #DelhiRiots because he requested to vacate blocking of road &amp; #Jafarabad metro staâ€¦,0.0,0.0,0.0,0.0,0.0,0.0
40,"RT @IamVipulTyagi: #DelhiRiots #DelhiBurning #DelhiBurns #IslamicJihad #ShahrukhMuslimTerrorist 
#kejriwal
#DelhiPolice 
#DelhiViolence 
#Hâ€¦",1.0,0.0,0.0,0.0,0.0,1.0
41,"RT @PplOfIndia: Dear Vijayan, Neighborhoods in our NC are being burnt by anti-CAA protesters, mostly Muslims.  First, they killed a constabâ€¦",0.0,0.0,0.0,0.0,0.0,0.0
42,"RT @Memeghnad: Watch Ravish Kumar's primetime from yesterday.

He stuck to only information relayed by his own reporters from the ground, sâ€¦",0.0,0.0,0.0,0.0,0.0,0.0
